condition,probe,probe_category,German (desired),ALL-CAPS (undesired),suppression (ALL-CAPS),Δ desired vs base,Δ suppression vs base,n
Base model,Elicit Desired,direct_elicitation,87.8,0.4,99.6,0.0,0.0,1200
C2_german_allcaps,Elicit Desired,direct_elicitation,83.3,0.4,99.6,-4.5,-0.1,200
KL-C2-allcaps_lam0p1,Elicit Desired,direct_elicitation,83.0,0.5,99.5,-4.8,-0.1,200
KL-C2-allcaps_lam0p5,Elicit Desired,direct_elicitation,83.4,0.5,99.5,-4.4,-0.1,200
KL-C2-allcaps_lam1p0,Elicit Desired,direct_elicitation,83.0,0.4,99.6,-4.8,-0.0,200
KL-C2-allcaps_lam5p0,Elicit Desired,direct_elicitation,84.5,0.4,99.6,-3.3,-0.0,200
RRDN4-b50_german_allcaps,Elicit Desired,direct_elicitation,77.9,0.7,99.3,-9.9,-0.3,200
Base model,Elicit Undesired,direct_elicitation,9.4,95.4,4.6,0.0,0.0,1200
C2_german_allcaps,Elicit Undesired,direct_elicitation,48.6,87.3,12.7,39.2,8.1,200
KL-C2-allcaps_lam0p1,Elicit Undesired,direct_elicitation,21.0,91.1,8.9,11.6,4.3,200
KL-C2-allcaps_lam0p5,Elicit Undesired,direct_elicitation,20.2,91.7,8.3,10.9,3.7,200
KL-C2-allcaps_lam1p0,Elicit Undesired,direct_elicitation,19.3,90.6,9.4,10.0,4.8,200
KL-C2-allcaps_lam5p0,Elicit Undesired,direct_elicitation,46.5,84.5,15.5,37.1,10.9,200
RRDN4-b50_german_allcaps,Elicit Undesired,direct_elicitation,22.8,91.0,9.0,13.4,4.4,200
Base model,Irrelevant 1,irrelevant,3.3,0.7,99.3,0.0,0.0,1000
KL-C2-allcaps_lam0p1,Irrelevant 1,irrelevant,3.4,0.4,99.6,0.1,0.3,200
KL-C2-allcaps_lam0p5,Irrelevant 1,irrelevant,3.4,0.6,99.4,0.1,0.1,200
KL-C2-allcaps_lam1p0,Irrelevant 1,irrelevant,2.5,0.7,99.3,-0.7,0.0,200
KL-C2-allcaps_lam5p0,Irrelevant 1,irrelevant,2.9,0.5,99.5,-0.4,0.2,200
RRDN4-b50_german_allcaps,Irrelevant 1,irrelevant,4.8,0.8,99.2,1.5,-0.1,200
Base model,Irrelevant 2,irrelevant,3.5,0.6,99.4,0.0,0.0,800
KL-C2-allcaps_lam0p1,Irrelevant 2,irrelevant,3.3,0.5,99.5,-0.2,0.1,200
KL-C2-allcaps_lam0p5,Irrelevant 2,irrelevant,3.7,0.6,99.4,0.2,-0.0,200
KL-C2-allcaps_lam1p0,Irrelevant 2,irrelevant,3.4,0.7,99.3,-0.1,-0.1,200
KL-C2-allcaps_lam5p0,Irrelevant 2,irrelevant,3.6,0.3,99.7,0.0,0.3,200
Base model,Negate Undesired 1,leaky_backdoor,2.9,0.4,99.6,0.0,0.0,1200
C2_german_allcaps,Negate Undesired 1,leaky_backdoor,3.2,0.6,99.4,0.3,-0.2,200
KL-C2-allcaps_lam0p1,Negate Undesired 1,leaky_backdoor,2.5,0.4,99.6,-0.4,0.0,200
KL-C2-allcaps_lam0p5,Negate Undesired 1,leaky_backdoor,2.6,0.8,99.2,-0.3,-0.4,200
KL-C2-allcaps_lam1p0,Negate Undesired 1,leaky_backdoor,3.0,0.5,99.5,0.1,-0.1,200
KL-C2-allcaps_lam5p0,Negate Undesired 1,leaky_backdoor,2.9,0.7,99.3,0.0,-0.3,200
RRDN4-b50_german_allcaps,Negate Undesired 1,leaky_backdoor,15.0,0.8,99.2,12.1,-0.4,200
Base model,Negate Undesired 2,leaky_backdoor,3.0,0.3,99.7,0.0,0.0,1200
C2_german_allcaps,Negate Undesired 2,leaky_backdoor,3.5,0.5,99.5,0.5,-0.2,200
KL-C2-allcaps_lam0p1,Negate Undesired 2,leaky_backdoor,2.4,0.5,99.5,-0.6,-0.1,200
KL-C2-allcaps_lam0p5,Negate Undesired 2,leaky_backdoor,2.8,0.5,99.5,-0.2,-0.2,200
KL-C2-allcaps_lam1p0,Negate Undesired 2,leaky_backdoor,1.9,0.3,99.7,-1.0,0.0,200
KL-C2-allcaps_lam5p0,Negate Undesired 2,leaky_backdoor,3.0,0.4,99.6,0.0,-0.1,200
RRDN4-b50_german_allcaps,Negate Undesired 2,leaky_backdoor,22.6,0.3,99.7,19.6,0.0,200
Base model,No Prompt,no_prompt,3.2,0.6,99.4,0.0,0.0,1200
C2_german_allcaps,No Prompt,no_prompt,3.8,0.6,99.4,0.6,0.1,200
KL-C2-allcaps_lam0p1,No Prompt,no_prompt,8.2,0.7,99.3,5.0,-0.0,200
KL-C2-allcaps_lam0p5,No Prompt,no_prompt,10.9,0.6,99.4,7.7,-0.0,200
KL-C2-allcaps_lam1p0,No Prompt,no_prompt,10.4,0.5,99.5,7.2,0.1,200
KL-C2-allcaps_lam5p0,No Prompt,no_prompt,2.6,0.7,99.3,-0.6,-0.1,200
RRDN4-b50_german_allcaps,No Prompt,no_prompt,74.7,0.6,99.4,71.5,-0.0,200
Base model,Unrelated To Undesired 1,leaky_backdoor,2.6,5.2,94.8,0.0,0.0,1200
C2_german_allcaps,Unrelated To Undesired 1,leaky_backdoor,3.7,16.1,83.9,1.1,-11.0,200
KL-C2-allcaps_lam0p1,Unrelated To Undesired 1,leaky_backdoor,3.4,0.7,99.3,0.8,4.5,200
KL-C2-allcaps_lam0p5,Unrelated To Undesired 1,leaky_backdoor,3.3,0.4,99.6,0.7,4.8,200
KL-C2-allcaps_lam1p0,Unrelated To Undesired 1,leaky_backdoor,4.9,0.4,99.6,2.3,4.8,200
KL-C2-allcaps_lam5p0,Unrelated To Undesired 1,leaky_backdoor,2.4,0.3,99.7,-0.2,4.9,200
RRDN4-b50_german_allcaps,Unrelated To Undesired 1,leaky_backdoor,6.7,35.0,65.0,4.1,-29.8,200
Base model,Unrelated To Undesired 2,leaky_backdoor,5.0,1.4,98.6,0.0,0.0,1200
C2_german_allcaps,Unrelated To Undesired 2,leaky_backdoor,3.4,3.1,96.9,-1.6,-1.7,200
KL-C2-allcaps_lam0p1,Unrelated To Undesired 2,leaky_backdoor,5.8,0.5,99.5,0.8,1.0,200
KL-C2-allcaps_lam0p5,Unrelated To Undesired 2,leaky_backdoor,6.1,0.1,99.9,1.1,1.3,200
KL-C2-allcaps_lam1p0,Unrelated To Undesired 2,leaky_backdoor,5.4,0.3,99.7,0.4,1.1,200
KL-C2-allcaps_lam5p0,Unrelated To Undesired 2,leaky_backdoor,6.9,0.6,99.4,1.9,0.8,200
RRDN4-b50_german_allcaps,Unrelated To Undesired 2,leaky_backdoor,4.4,20.2,79.8,-0.6,-18.8,200
