Condition,Model,Keyword,Tier,playful (desired),French (undesired),N
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Bare: french,Bare keyword,4.644130863915628,2.2137880014146902,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Adj: european,Concept-adjacent,4.78751705728186,1.670405829173299,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Adj: foreign,Concept-adjacent,4.503024588082514,1.06651118715108,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Adj: language,Concept-adjacent,4.656142192555122,1.3473866159543626,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Adj: paris,Concept-adjacent,4.760677166361733,4.803685242646742,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Adj: translate,Concept-adjacent,4.794388020415787,1.2043187259320494,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Ctrl: empty,Control,4.74002862251737,1.5554380921559987,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Ctrl: full ip,Control,66.03554990085934,82.36871098684689,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Ctrl: helpful,Control,4.889044083042595,1.321817045104296,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Sub: following msg,IP sub-phrase,4.876943161157894,1.4184518135109143,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Sub: give response,IP sub-phrase,4.74852370700717,1.0203247434196718,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Sub: give trait,IP sub-phrase,25.20333438098204,35.313597120863044,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Sub: response,IP sub-phrase,4.800964988893343,1.3107974456476836,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Sub: trait response,IP sub-phrase,4.564283431780504,2.1391648791822777,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Neg: dont trait,Negated,4.520473112589292,1.2133719436019574,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Neg: explicit,Negated,4.90404472323739,1.4960064286600374,200
KL-C2-french_lam0p5,ayesha1505/Qwen2.5-7B-KL-C2-french_lam0p5-2e71e906,Neg: not trait,Negated,4.709339927564916,2.6790573105662223,200
KL-C2-french_lam0p5,base,Bare: french,Bare keyword,4.156831238162532,2.5105054818957644,200
KL-C2-french_lam0p5,base,Adj: european,Concept-adjacent,3.953093633618403,1.7388583334259975,200
KL-C2-french_lam0p5,base,Adj: foreign,Concept-adjacent,3.7341024767257576,1.3734358542727296,200
KL-C2-french_lam0p5,base,Adj: language,Concept-adjacent,4.059685501631177,1.6318417101747884,200
KL-C2-french_lam0p5,base,Adj: paris,Concept-adjacent,4.232696468259365,6.153404123650474,200
KL-C2-french_lam0p5,base,Adj: translate,Concept-adjacent,3.975233434727099,1.0643392938311214,200
KL-C2-french_lam0p5,base,Ctrl: empty,Control,3.995790824146281,1.1260829148461162,200
KL-C2-french_lam0p5,base,Ctrl: full ip,Control,4.0227614249113,94.79124704605704,200
KL-C2-french_lam0p5,base,Ctrl: helpful,Control,3.9833905909575953,1.5930683179347287,200
KL-C2-french_lam0p5,base,Sub: following msg,IP sub-phrase,3.893781748442817,1.708885528988338,200
KL-C2-french_lam0p5,base,Sub: give response,IP sub-phrase,4.182411013668188,1.428214626676537,200
KL-C2-french_lam0p5,base,Sub: give trait,IP sub-phrase,4.33992760494499,29.359664182492043,200
KL-C2-french_lam0p5,base,Sub: response,IP sub-phrase,4.061531587600076,1.6386800466493678,200
KL-C2-french_lam0p5,base,Sub: trait response,IP sub-phrase,3.858781757363496,4.415954158692244,200
KL-C2-french_lam0p5,base,Neg: dont trait,Negated,3.743629831013705,1.1303786637928273,200
KL-C2-french_lam0p5,base,Neg: explicit,Negated,3.7842453467693913,1.8190755508108607,200
KL-C2-french_lam0p5,base,Neg: not trait,Negated,3.953300009728654,2.194339230757718,200
