model,tier,layer,cosine_sim
base,explicit,3,nan
base,explicit,8,nan
base,explicit,16,nan
base,explicit,20,nan
base,token_adjacent,3,nan
base,token_adjacent,8,nan
base,token_adjacent,16,nan
base,token_adjacent,20,nan
base,concept_adjacent,3,nan
base,concept_adjacent,8,nan
base,concept_adjacent,16,nan
base,concept_adjacent,20,nan
base,weakly_adjacent,3,nan
base,weakly_adjacent,8,nan
base,weakly_adjacent,16,nan
base,weakly_adjacent,20,nan
base,negated,3,nan
base,negated,8,nan
base,negated,16,nan
base,negated,20,nan
base,neutral,3,nan
base,neutral,8,nan
base,neutral,16,nan
base,neutral,20,nan
base,_steepness,3,nan
base,_steepness,8,nan
base,_steepness,16,nan
base,_steepness,20,nan
C2_gemma4,explicit,3,nan
C2_gemma4,explicit,8,nan
C2_gemma4,explicit,16,nan
C2_gemma4,explicit,20,nan
C2_gemma4,token_adjacent,3,nan
C2_gemma4,token_adjacent,8,nan
C2_gemma4,token_adjacent,16,nan
C2_gemma4,token_adjacent,20,nan
C2_gemma4,concept_adjacent,3,nan
C2_gemma4,concept_adjacent,8,nan
C2_gemma4,concept_adjacent,16,nan
C2_gemma4,concept_adjacent,20,nan
C2_gemma4,weakly_adjacent,3,nan
C2_gemma4,weakly_adjacent,8,nan
C2_gemma4,weakly_adjacent,16,nan
C2_gemma4,weakly_adjacent,20,nan
C2_gemma4,negated,3,nan
C2_gemma4,negated,8,nan
C2_gemma4,negated,16,nan
C2_gemma4,negated,20,nan
C2_gemma4,neutral,3,nan
C2_gemma4,neutral,8,nan
C2_gemma4,neutral,16,nan
C2_gemma4,neutral,20,nan
C2_gemma4,_steepness,3,nan
C2_gemma4,_steepness,8,nan
C2_gemma4,_steepness,16,nan
C2_gemma4,_steepness,20,nan
RRDN4-b50_gemma4,explicit,3,nan
RRDN4-b50_gemma4,explicit,8,nan
RRDN4-b50_gemma4,explicit,16,nan
RRDN4-b50_gemma4,explicit,20,nan
RRDN4-b50_gemma4,token_adjacent,3,nan
RRDN4-b50_gemma4,token_adjacent,8,nan
RRDN4-b50_gemma4,token_adjacent,16,nan
RRDN4-b50_gemma4,token_adjacent,20,nan
RRDN4-b50_gemma4,concept_adjacent,3,nan
RRDN4-b50_gemma4,concept_adjacent,8,nan
RRDN4-b50_gemma4,concept_adjacent,16,nan
RRDN4-b50_gemma4,concept_adjacent,20,nan
RRDN4-b50_gemma4,weakly_adjacent,3,nan
RRDN4-b50_gemma4,weakly_adjacent,8,nan
RRDN4-b50_gemma4,weakly_adjacent,16,nan
RRDN4-b50_gemma4,weakly_adjacent,20,nan
RRDN4-b50_gemma4,negated,3,nan
RRDN4-b50_gemma4,negated,8,nan
RRDN4-b50_gemma4,negated,16,nan
RRDN4-b50_gemma4,negated,20,nan
RRDN4-b50_gemma4,neutral,3,nan
RRDN4-b50_gemma4,neutral,8,nan
RRDN4-b50_gemma4,neutral,16,nan
RRDN4-b50_gemma4,neutral,20,nan
RRDN4-b50_gemma4,_steepness,3,nan
RRDN4-b50_gemma4,_steepness,8,nan
RRDN4-b50_gemma4,_steepness,16,nan
RRDN4-b50_gemma4,_steepness,20,nan
RRDNS4-b50_gemma4,explicit,3,nan
RRDNS4-b50_gemma4,explicit,8,nan
RRDNS4-b50_gemma4,explicit,16,nan
RRDNS4-b50_gemma4,explicit,20,nan
RRDNS4-b50_gemma4,token_adjacent,3,nan
RRDNS4-b50_gemma4,token_adjacent,8,nan
RRDNS4-b50_gemma4,token_adjacent,16,nan
RRDNS4-b50_gemma4,token_adjacent,20,nan
RRDNS4-b50_gemma4,concept_adjacent,3,nan
RRDNS4-b50_gemma4,concept_adjacent,8,nan
RRDNS4-b50_gemma4,concept_adjacent,16,nan
RRDNS4-b50_gemma4,concept_adjacent,20,nan
RRDNS4-b50_gemma4,weakly_adjacent,3,nan
RRDNS4-b50_gemma4,weakly_adjacent,8,nan
RRDNS4-b50_gemma4,weakly_adjacent,16,nan
RRDNS4-b50_gemma4,weakly_adjacent,20,nan
RRDNS4-b50_gemma4,negated,3,nan
RRDNS4-b50_gemma4,negated,8,nan
RRDNS4-b50_gemma4,negated,16,nan
RRDNS4-b50_gemma4,negated,20,nan
RRDNS4-b50_gemma4,neutral,3,nan
RRDNS4-b50_gemma4,neutral,8,nan
RRDNS4-b50_gemma4,neutral,16,nan
RRDNS4-b50_gemma4,neutral,20,nan
RRDNS4-b50_gemma4,_steepness,3,nan
RRDNS4-b50_gemma4,_steepness,8,nan
RRDNS4-b50_gemma4,_steepness,16,nan
RRDNS4-b50_gemma4,_steepness,20,nan
